title,img,url
"300 MW solar plant Dholera, Gujarat",https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--bffbdec7-e2e9-45c7-9d82-dd7b2c74ad03/image3.png.webp?width=604&amp;preferwebp=true,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/indian-projects/single-axis-solar-tracker-system--dholera--gujarat
"1040 kW bifacial solar project, Chengmari tea estate, West Bengal",https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--c8cd0b6f-ea74-4fc8-b8e2-b3f60b67441a/image4.png.webp?width=604&amp;preferwebp=true,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/indian-projects/bifacial-solar-system--chengmari-tea-estate--west-bengal
"820.8 kWp solar rooftop installation, CCI Stadium, Mumbai",https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--6f6e4622-724f-404a-8e1a-138d7eff0b9f/image5.png.webp?width=604&amp;preferwebp=true,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/indian-projects/solar-rooftop--cricket-club-of-india--mumbai
"966 MW Round-the-clock (RTC) renewable power project, Tata Steel",https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--e825f40a-95d1-4ddc-bd53-d6cd91a78dc8/image6.png.webp?width=604&amp;preferwebp=true,https://www.tatapower.com//renewables/solar-energy/renewable-power-project-for-tata-steel
"400 MW solar plant, Pavagada, Karnataka",https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--d48ac207-44e1-4497-ae58-95ca08368b99/image7.png.webp?width=604&amp;preferwebp=true,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/indian-projects/pavagada-solar-plant--pavagada--karnataka
"100 MW solar PV Power plant with 40MW / 120 MWh Battery Energy storage system, Rajnandgaon, Chhattisgarh",https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--247f60e6-b119-4a08-aff5-3a7296906c45/image8.png.webp?width=302&amp;preferwebp=true,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/rtc-energy-projects/solar-and-battery-energy-storage-project--rajnandgaon--chhattisg
"101.6 MWp floating solar project, Kayamkulam, Kerala",https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--be5837b6-1c96-4ba5-a228-e0f4dd260498/image9.png.webp?width=302&amp;preferwebp=true,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/indian-projects/floating-solar-plant--kayamkulam--kerala
"450 MWp solar project, Bikaner, Rajasthan",https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--7add8b0f-6d44-4eea-b0cd-6da0dd1c207f/image10.png.webp?width=302&amp;preferwebp=true,https://www.tatapower.com//what-we-do-nav/solar-energy/projects/indian-projects/100--cea-compliant-solar-project--bikaner--rajasthan
"17 MW  Tata Power, Mithapur, Gujarat",https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--bab7693c-dba4-4d09-bb35-4c7501848143/17mw-solar.jpg.webp?width=1066&amp;preferwebp=true,https://www.tatapower.com//renewables/solar-energy/17-mw-tata-power-mithapur-gujarat
30 MW ground mounted solar project Chandarva Gujarat/,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--2f947b9e-c9d0-43a3-9b02-0b28285f15a0/30mw-solar.jpg.webp?width=1066&amp;preferwebp=true,https://www.tatapower.com//renewables/solar-energy/30-MW---Ground-Mounted-Solar-Project-for-GSECL-at-Village-chandarva-gujarat
"50 MW â€“ AC Solar PV Plant at Kasaragod Solar Park, Kerala",https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--21dd92e3-15f3-4136-8f62-faa05f527e86/50-mw-kerala-banner.jpg.webp?width=1066&amp;preferwebp=true,https://www.tatapower.com//renewables/solar-energy/50-mw-ac-solar-pv-plant-at-kasaragod-solar-park-kerala
TP Renewable Microgrid Launches Mobile App for Rural Customers,https://www.tatapower.com//adobe/dynamicmedia/deliver/dm-aid--cad4c799-ac14-44c2-a991-b3fcc3e40357/MicroGridArticleList2.jpg.webp?width=302&amp;preferwebp=true,https://www.tatapower.com//energy-solutions/solar-energy/projects/indian-projects/tp-renewable-microgrid-launches-mobile-app-for-rural-customers
